english,chinese,level,phonetic,example1,example1_form,example1_cn,example2,example2_form,example2_cn
bulb,灯泡；鳞茎,高中,bʌlb,Change the light bulb.,,换灯泡。,Tulip bulbs are planted in autumn.,bulbs,郁金香鳞茎在秋天种植。
bull,公牛,高中,bʊl,The bull charged at us.,,公牛向我们冲过来。,The bull market attracted many investors.,,牛市吸引了许多投资者。
burden,负担；重担,高中,ˈbɜːrdn,Don't burden yourself.,,别让自己负担过重。,The heavy burden of proof lies with the prosecution.,,沉重的举证责任在于控方。
burn,燃烧；烧伤,高中,bɜːrn,Wood burns easily.,burns,木头容易燃烧。,He burned his hand on the stove.,burned,他在炉子上烫伤了手。
burst,爆炸；突发,高中,bɜːrst,The balloon burst.,burst,气球爆了。,She burst into tears.,burst,她突然哭了起来。
bush,灌木丛,高中,bʊʃ,Birds hid in the bush.,,鸟儿藏在灌木丛里。,The cat ran into the bushes.,bushes,猫跑进了灌木丛。
busy,忙碌的,高中,ˈbɪzi,I'm busy now.,,我现在很忙。,She is busy preparing for the exam.,preparing,她正忙着准备考试。
butter,黄油,高中,ˈbʌtər,Spread butter on the bread.,,在面包上涂黄油。,She buttered the toast.,buttered,她给吐司涂了黄油。
button,按钮；纽扣,高中,ˈbʌtn,Press the red button.,,按下红色按钮。,He buttoned up his coat.,buttoned,他扣好了外套的纽扣。
cabbage,卷心菜,高中,ˈkæbɪdʒ,I like to eat cabbage.,,我喜欢吃卷心菜。,We grow cabbages in our garden.,cabbages,我们在花园里种卷心菜。
cafe,咖啡馆,高中,kæˈfeɪ,Let's meet at the cafe.,,我们在咖啡馆见面吧。,They opened a new cafe downtown.,,他们在市中心开了一家新咖啡馆。
cage,笼子,高中,keɪdʒ,The bird is in the cage.,,鸟关在笼子里。,The tiger paced in its cage.,,老虎在笼子里踱步。
calculate,计算；估算,高中,ˈkælkjuleɪt,Calculate the total cost.,,计算总成本。,He is calculating the distance.,calculating,他正在计算距离。
calm,平静的；镇静的,高中,kɑːm,Stay calm in an emergency.,,紧急情况下保持冷静。,She calmed the crying baby.,calmed,她安抚了哭泣的婴儿。
camera,照相机,高中,ˈkæmrə,Take a photo with this camera.,,用这台相机拍照。,He bought a new digital camera.,,他买了一台新的数码相机。
camp,营地；露营,高中,kæmp,We went camping last summer.,camping,去年夏天我们去露营了。,They camped by the river.,camped,他们在河边扎营。
canal,运河,高中,kəˈnæl,The Panama Canal connects oceans.,,巴拿马运河连接两大洋。,The city has many canals.,canals,这座城市有很多运河。
cancel,取消,高中,ˈkænsl,I need to cancel my flight.,,我需要取消航班。,The meeting was canceled due to rain.,canceled,会议因雨取消了。
cancer,癌症,高中,ˈkænsər,Early detection helps fight cancer.,,早期发现有助于对抗癌症。,Smoking is a major cause of lung cancer.,,吸烟是导致肺癌的主要原因。
candidate,候选人；应试者,高中,ˈkændɪdeɪt,She is a candidate for president.,,她是总统候选人。,There are three candidates for the job.,candidates,这份工作有三名候选人。
candle,蜡烛,高中,ˈkændl,Light the candle.,,点燃蜡烛。,The candle flickered in the dark.,,蜡烛在黑暗中闪烁。
captain,船长；队长；上尉,高中,ˈkæptɪn,The team captain led the players.,,队长带领队员。,The captain ordered the crew to prepare for departure.,,船长命令船员准备起航。
carbon,碳,高中,ˈkɑːrbən,Carbon exists in all living things.,,碳存在于所有生物中。,Reducing carbon emissions is crucial for the environment.,,减少碳排放对环境至关重要。
careless,粗心的,高中,ˈkerləs,He made a careless mistake.,,他犯了一个粗心的错误。,Careless driving can cause accidents.,,粗心驾驶可能导致事故。
carpet,地毯,高中,ˈkɑːrpɪt,The carpet is soft.,,地毯很柔软。,They rolled out the red carpet for the guests.,,他们为客人们铺上了红地毯。
carrot,胡萝卜,高中,ˈkærət,Rabbits love carrots.,carrots,兔子爱吃胡萝卜。,Carrots are good for your eyesight.,,胡萝卜对视力有好处。
cartoon,卡通；动画片,高中,kɑːrˈtuːn,Children love watching cartoons.,cartoons,孩子们喜欢看动画片。,He drew a funny cartoon for the newspaper.,,他为报纸画了一幅有趣的卡通画。
cash,现金,高中,kæʃ,Pay in cash.,,用现金支付。,I need to withdraw some cash from the ATM.,,我需要从自动取款机取些现金。
castle,城堡,高中,ˈkæsl,The king lived in a castle.,,国王住在城堡里。,We visited a medieval castle on our trip.,,我们在旅途中参观了一座中世纪的城堡。
cattle,牛（总称）,高中,ˈkætl,The cattle are grazing.,,牛正在吃草。,The farm raises cattle for beef.,,这个农场养牛以获取牛肉。
cave,洞穴,高中,keɪv,Bears hibernate in caves.,caves,熊在洞穴里冬眠。,The explorers discovered ancient paintings in the cave.,,探险家们在洞穴里发现了古老的壁画。
ceiling,天花板,高中,ˈsiːlɪŋ,Look at the ceiling.,,看天花板。,The ceiling fan helps cool the room.,,吊扇有助于使房间变凉快。
cent,美分,高中,sent,It costs 50 cents.,cents,这东西值50美分。,Not a single cent was wasted.,,一分钱都没有浪费。
center,中心,高中,/ˈsentər/,The city center is busy.,,市中心很繁忙。,She centered the picture on the wall.,centered,她把画挂在了墙的正中央。
central,中心的；主要的,高中,/ˈsentrəl/,This is the central issue.,,这是核心问题。,The hotel is centrally located.,centrally,这家酒店位于中心地带。
certain,确定的；某个,高中,/ˈsɜːrtn/,I'm certain he will come.,,我确定他会来。,"For certain reasons, I cannot attend.",,由于某些原因，我无法参加。
certainly,当然；必定,高中,/ˈsɜːrtnli/,"Certainly, I can help you.",,当然，我可以帮你。,He will certainly succeed.,,他必定会成功。
certificate,证书；证明书,高中,/sərˈtɪfɪkət/,She received a birth certificate.,,她拿到了出生证明。,He was certificated as a teacher.,certificated,他获得了教师资格认证。
chain,链条；连锁店,高中,/tʃeɪn/,He wore a gold chain.,,他戴着一条金链子。,The store is part of a large chain.,,这家店是一个大型连锁店的一部分。
chairman,主席；董事长,高中,/ˈtʃermən/,The chairman opened the meeting.,,主席宣布会议开始。,She was elected chairwoman of the committee.,chairwoman,她被选为委员会主席。
chalk,粉笔,高中,/tʃɔːk/,Write on the blackboard with chalk.,,用粉笔在黑板上写字。,The teacher chalked a diagram on the board.,chalked,老师用粉笔在黑板上画了个图表。
challenge,挑战；质疑,高中,/ˈtʃælɪndʒ/,Climbing the mountain is a challenge.,,攀登这座山是个挑战。,He challenged the referee's decision.,challenged,他对裁判的决定提出了质疑。
chance,机会；可能性,高中,/tʃæns/,Give me a chance.,,给我一个机会。,I chanced upon an old friend yesterday.,chanced,昨天我偶然遇到了一位老朋友。
channel,频道；海峡；通道,高中,/ˈtʃænl/,Switch the TV channel.,,切换电视频道。,Please channel your energy into your studies.,channel,请把你的精力投入到学习中去。
chapter,章；章节,高中,/ˈtʃæptər/,Read Chapter 5.,,阅读第五章。,A new chapter began in her life.,,她的人生翻开了新的篇章。
character,性格；角色；特点,高中,/ˈkærəktər/,He has a strong character.,,他性格坚强。,The main character in the novel is a detective.,,小说中的主角是一名侦探。
characteristic,特征；特点,高中,/ˌkærəktəˈrɪstɪk/,Honesty is his characteristic.,,诚实是他的特质。,The bird has characteristic blue feathers.,,这种鸟有独特的蓝色羽毛。
charge,收费；充电；负责,高中,/tʃɑːrdʒ/,Charge your phone.,,给手机充电。,He is in charge of the project.,,他负责这个项目。
chart,图表；海图,高中,tʃɑːrt,Look at the sales chart.,,看销售图表。,The captain studied the nautical chart.,studied,船长研究了航海图。
chat,聊天,高中,tʃæt,Let's chat online.,,我们在网上聊聊吧。,They were chatting in the cafe.,chatting,他们当时正在咖啡馆聊天。
cheap,便宜的,高中,tʃiːp,This shirt is cheap.,,这件衬衫很便宜。,He bought a cheap ticket.,bought,他买了一张便宜的票。
cheat,欺骗；作弊,高中,tʃiːt,Don't cheat on exams.,,考试不要作弊。,He cheated in the game.,cheated,他在游戏中作弊了。
check,检查；核对；支票,高中,tʃek,Check your answers.,,检查你的答案。,She checked the report carefully.,checked,她仔细检查了报告。
cheer,欢呼；使高兴,高中,tʃɪr,The crowd cheered loudly.,cheered,人群大声欢呼。,Cheer up! Things will get better.,,振作起来！事情会好起来的。
cheese,奶酪,高中,tʃiːz,I like cheese with bread.,,我喜欢奶酪配面包。,She added cheese to the pasta.,added,她在意大利面里加了奶酪。
chef,厨师,高中,ʃef,The chef cooked a delicious meal.,cooked,厨师做了一顿美味的饭菜。,The head chef is very creative.,,主厨非常有创意。
chemical,化学的；化学品,高中,ˈkemɪkl,Chemical reactions occur daily.,,化学反应每天都在发生。,Handle these chemicals with care.,,小心处理这些化学品。
chemist,化学家；药剂师,高中,ˈkemɪst,The chemist invented a new drug.,invented,这位化学家发明了一种新药。,Ask the chemist for advice.,,向药剂师咨询。
chemistry,化学,高中,ˈkemɪstri,She studies chemistry at university.,studies,她在大学学习化学。,There's good chemistry between them.,,他们之间很有默契。
cheque,支票（英式拼写）,高中,tʃek,Pay by cheque.,,用支票付款。,He wrote a cheque for the amount.,wrote,他开了一张相应金额的支票。
chess,国际象棋,高中,tʃes,Play a game of chess.,,下一盘国际象棋。,He is learning to play chess.,learning,他正在学习下国际象棋。
chest,胸部；箱子,高中,tʃest,He has a pain in his chest.,,他胸口疼。,The treasure chest was buried.,buried,宝藏箱被埋了起来。
chief,主要的；首领,高中,tʃiːf,The chief reason is cost.,,主要原因是成本。,She is the chief editor.,,她是主编。
childhood,童年,高中,/ˈtʃaɪldhʊd/,I had a happy childhood.,,我有一个快乐的童年。,Her childhood memories are vivid.,,她的童年记忆很生动。
chimney,烟囱,高中,/ˈtʃɪmni/,Smoke came out of the chimney.,,烟从烟囱里冒出来。,Santa Claus comes down the chimney.,,圣诞老人从烟囱下来。
chopstick,筷子,高中,/ˈtʃɒpstɪk/,Use chopsticks to eat noodles.,chopsticks,用筷子吃面条。,He is learning to use chopsticks.,chopsticks,他正在学习使用筷子。
Christmas,圣诞节,高中,/ˈkrɪsməs/,Merry Christmas!,,圣诞快乐！,We celebrate Christmas with family.,,我们和家人一起庆祝圣诞节。
church,教堂,高中,/tʃɜːtʃ/,They go to church on Sunday.,,他们周日去教堂。,The church bell is ringing.,,教堂的钟声正在响起。
cigarette,香烟,高中,/ˌsɪɡəˈret/,Smoking cigarettes is harmful.,cigarettes,吸香烟有害健康。,He lit a cigarette.,,他点燃了一支香烟。
cinema,电影院,高中,/ˈsɪnəmə/,Let's go to the cinema.,,我们去电影院吧。,The cinema was crowded.,,电影院很拥挤。
circle,圆圈；圈子,高中,/ˈsɜːkl/,Draw a circle.,,画一个圆。,They stood in a circle.,,他们站成一个圈。
circuit,电路；环行,高中,/ˈsɜːkɪt/,The electric circuit is broken.,,电路断了。,The race car completed the circuit.,,赛车完成了环行赛道。
citizen,公民；市民,高中,/ˈsɪtɪzn/,He is a US citizen.,,他是美国公民。,The citizens voted in the election.,citizens,市民们在选举中投票。
civil,公民的；民用的,高中,/ˈsɪvl/,Civil rights are important.,,公民权利很重要。,It was a civil ceremony.,,那是一场民事仪式。
claim,声称；索赔,高中,/kleɪm/,He claims he is innocent.,claims,他声称自己是无辜的。,She filed an insurance claim.,,她提交了一份保险索赔。
clap,鼓掌；拍手,高中,/klæp/,The audience clapped loudly.,clapped,观众热烈鼓掌。,Clap your hands to the music.,,跟着音乐拍手。
classic,经典的；名著,高中,/ˈklæsɪk/,This is a classic novel.,,这是一部经典小说。,That car is a classic design.,,那辆车是经典设计。
claw,爪子,高中,/klɔː/,The cat has sharp claws.,claws,猫有锋利的爪子。,The eagle used its claws to catch prey.,claws,老鹰用爪子捕捉猎物。
clerk,职员；店员,高中,klɑːrk,The clerk helped me find the book.,,店员帮我找到了书。,She works as a bank clerk.,,她是一名银行职员。
clever,聪明的,高中,ˈklevər,He is a clever boy.,,他是个聪明的男孩。,That was a clever solution to the problem.,,那是个解决问题的巧妙办法。
climb,爬；攀登,高中,klaɪm,Climb the mountain.,,爬山。,The cat climbed up the tree.,climbed,那只猫爬上了树。
clinic,诊所,高中,ˈklɪnɪk,Visit the clinic for a check-up.,,去诊所体检。,The dental clinic is on the second floor.,,牙科诊所在二楼。
cloth,布；布料,高中,klɔːθ,This cloth is soft.,,这块布料很软。,She wiped the table with a damp cloth.,,她用一块湿布擦了桌子。
clothing,服装（总称）,高中,ˈkloʊðɪŋ,Protective clothing is required.,,需要穿防护服。,They donated warm clothing to the shelter.,,他们向收容所捐赠了保暖衣物。
coach,教练；长途汽车,高中,koʊtʃ,The coach trained the team.,,教练训练这支队伍。,We took a coach to the city.,,我们乘长途汽车去城里。
coal,煤,高中,koʊl,Coal is a fossil fuel.,,煤是一种化石燃料。,The stove burns coal.,,这个炉子烧煤。
coast,海岸,高中,koʊst,The city is on the coast.,,这座城市位于海岸边。,We drove along the coast.,,我们沿着海岸线开车。
coin,硬币,高中,kɔɪn,Toss a coin.,,抛硬币。,I found an old coin in the garden.,,我在花园里发现了一枚旧硬币。
collar,衣领；项圈,高中,ˈkɑːlər,The dog's collar is blue.,,狗的项圈是蓝色的。,He straightened his shirt collar.,,他整理了一下衬衫的衣领。
colleague,同事,高中,ˈkɑːliːɡ,My colleagues are friendly.,colleagues,我的同事们很友好。,I discussed the project with a colleague.,,我和一位同事讨论了这个项目。
college,学院；大学,高中,ˈkɑːlɪdʒ,He goes to college.,,他上大学。,She graduated from a medical college.,,她从一所医学院毕业。
comb,梳子；梳理,高中,koʊm,Comb your hair.,,梳头。,She combed through the old documents.,combed,她仔细翻阅了旧文件。
comfort,舒适；安慰,高中,ˈkʌmfərt,This sofa is for comfort.,,这张沙发是为了舒适设计的。,Her words comforted the crying child.,comforted,她的话安慰了那个哭泣的孩子。
comfortable,舒适的,高中,/ˈkʌmftəbl/,The chair is comfortable.,,这把椅子很舒服。,She felt comfortable in the new environment.,,她在新环境中感到舒适。
command,命令；指挥,高中,/kəˈmænd/,The officer commanded the soldiers.,commanded,军官向士兵下达命令。,He has a good command of English.,,他精通英语。
comment,评论；意见,高中,/ˈkɒment/,Leave a comment below.,,在下方留言评论。,She commented on the new policy.,commented,她对新政策发表了评论。
commercial,商业的；商业广告,高中,/kəˈmɜːʃl/,Commercial activities increased.,,商业活动增加了。,The TV show was interrupted by a commercial.,,电视节目被一则商业广告打断了。
commit,犯（错）；承诺；投入,高中,/kəˈmɪt/,Commit to your goals.,,致力于你的目标。,He committed a serious error.,committed,他犯了一个严重的错误。
common,共同的；常见的,高中,/ˈkɒmən/,It's a common mistake.,,这是一个常见错误。,We have a common interest in music.,,我们在音乐上有共同的兴趣。
communicate,交流；沟通,高中,/kəˈmjuːnɪkeɪt/,Communicate clearly.,,清晰地沟通。,They communicated through emails.,communicated,他们通过电子邮件交流。
communication,交流；通讯,高中,/kəˌmjuːnɪˈkeɪʃn/,Good communication is key.,,良好的沟通是关键。,Modern communication technology has changed our lives.,,现代通讯技术改变了我们的生活。
compare,比较；对比,高中,/kəmˈpeə(r)/,Compare the two products.,,比较这两种产品。,She compared her childhood with his.,compared,她将自己的童年与他的进行了比较。
compass,指南针；圆规,高中,/ˈkʌmpəs/,Use a compass to find north.,,用指南针找北。,He drew a circle with a compass.,,他用圆规画了一个圆。
compete,竞争；比赛,高中,/kəmˈpiːt/,Athletes compete for medals.,,运动员为奖牌而战。,Several companies are competing for the contract.,competing,几家公司正在竞争这份合同。
competition,竞争；比赛,高中,/ˌkɒmpəˈtɪʃn/,Win the competition.,,赢得比赛。,There is fierce competition in the job market.,,就业市场竞争激烈。
complain,抱怨,高中,/kəmˈpleɪn/,Don't complain about the weather.,,别抱怨天气。,He complained to the manager about the service.,complained,他向经理投诉了服务问题。
complete,完成的；完整的；完成,高中,/kəmˈpliːt/,Complete your homework.,,完成作业。,The collection is now complete.,,这套收藏品现在完整了。
composition,作文；作曲；构成,高中,/ˌkɒmpəˈzɪʃn/,Write a composition.,,写一篇作文。,The composition of the soil affects plant growth.,,土壤的构成影响植物生长。
concert,音乐会,高中,/ˈkɒnsət/,We attended a concert.,,我们参加了一场音乐会。,The concert hall was full.,,音乐厅座无虚席。
conduct,实施；引导；行为,高中,/kənˈdʌkt/,Conduct an experiment.,,做实验。,He conducted the orchestra.,conducted,他指挥了管弦乐队。
conference,会议；研讨会,高中,/ˈkɒnfərəns/,Attend a business conference.,,参加商务会议。,The conference lasted three days.,,会议持续了三天。
congratulate,祝贺,高中,/kənˈɡrætʃuleɪt/,Congratulate her on her success.,,祝贺她的成功。,I congratulated him on his promotion.,congratulated,我祝贺他升职。
congratulation,祝贺（常用复数）,高中,/kənˌɡrætʃuˈleɪʃn/,Congratulations on your wedding!,Congratulations,恭喜你们结婚！,She received many congratulations.,congratulations,她收到了许多祝贺。
consider,考虑；认为,高中,/kənˈsɪdə(r)/,Consider all options.,,考虑所有选项。,He is considered an expert.,considered,他被认为是专家。
construction,建设；建筑物,高中,/kənˈstrʌkʃn/,Construction of the bridge is finished.,,桥梁建设已完成。,The new building is under construction.,,新大楼正在建设中。
consult,咨询；请教,高中,/kənˈsʌlt/,Consult a doctor.,,咨询医生。,She consulted a lawyer.,consulted,她咨询了律师。
consume,消耗；消费,高中,/kənˈsjuːm/,Consume less energy.,,减少能源消耗。,The car consumes a lot of fuel.,consumes,这辆车耗油很多。
contain,包含；容纳,高中,/kənˈteɪn/,The box contains books.,contains,盒子里装着书。,This drink contains sugar.,contains,这种饮料含糖。
content,内容；满意的,高中,/ˈkɒntent/,The content is interesting.,,内容很有趣。,She is content with her life.,,她对生活很满意。
continent,大陆,高中,/ˈkɒntɪnənt/,Asia is the largest continent.,,亚洲是最大的大陆。,Africa is a diverse continent.,,非洲是一个多样化的大陆。
convenient,方便的,高中,/kənˈviːniənt/,Online shopping is convenient.,,网购很方便。,Is it convenient for you to meet tomorrow?,,明天见面你方便吗？
conversation,谈话；会话,高中,/ˌkɒnvəˈseɪʃn/,Have a conversation.,,进行交谈。,They had a long conversation.,,他们进行了一次长谈。
cookie,饼干,高中,/ˈkʊki/,I ate a chocolate cookie.,,我吃了一块巧克力饼干。,She baked cookies for the party.,cookies,她为聚会烤了饼干。
corn,玉米,高中,/kɔːrn/,Corn grows in the field.,,玉米生长在田里。,We eat corn on the cob.,,我们吃玉米棒子。
corner,角落,高中,/ˈkɔːrnər/,Sit in the corner.,,坐在角落里。,The shop is on the corner of the street.,,那家店在街角。
corporation,公司；企业,高中,/ˌkɔːrpəˈreɪʃn/,A multinational corporation.,,跨国公司。,He works for a large corporation.,,他在一家大公司工作。
cottage,小屋；村舍,高中,/ˈkɑːtɪdʒ/,Rent a cottage by the lake.,,租一间湖边小屋。,They spent the summer in a small cottage.,,他们在小村舍里度过了夏天。
cotton,棉花；棉布,高中,/ˈkɑːtn/,This shirt is made of cotton.,,这件衬衫是棉质的。,She prefers cotton clothes in summer.,,夏天她更喜欢棉质衣服。
cough,咳嗽,高中,/kɔːf/,I can't stop coughing.,coughing,我咳个不停。,He coughed all night.,coughed,他咳了一整晚。
count,数数；计数；重要,高中,/kaʊnt/,Count from one to ten.,,从一数到十。,Every vote counts.,counts,每一票都很重要。
countryside,乡下；农村,高中,/ˈkʌntrisaɪd/,The countryside is peaceful.,,乡村很宁静。,We went for a drive in the countryside.,,我们开车去乡下兜风。
couple,一对；夫妇,高中,/ˈkʌpl/,A young couple.,,一对年轻夫妇。,I'll be back in a couple of minutes.,,我几分钟后就回来。
courage,勇气,高中,/ˈkɜːrɪdʒ/,It takes courage to admit mistakes.,,承认错误需要勇气。,She showed great courage in the face of danger.,,面对危险，她表现出巨大的勇气。
course,课程；过程；一道菜,高中,/kɔːrs/,Take a physics course.,,修一门物理课。,The main course was delicious.,,主菜很美味。
court,法院；球场,高中,/kɔːrt/,The case went to court.,,案件上了法庭。,They are playing on the tennis court.,playing,他们正在网球场上打球。
cousin,堂（表）兄弟姐妹,高中,/ˈkʌzn/,My cousin lives in Canada.,,我表哥住在加拿大。,I have three cousins on my mother's side.,,我有三个表兄弟姐妹。
crash,碰撞；坠毁；崩溃,高中,/kræʃ/,The car crashed into a tree.,crashed,汽车撞上了一棵树。,The computer crashed and I lost my work.,crashed,电脑崩溃了，我的工作成果全丢了。
crazy,疯狂的；痴迷的,高中,/ˈkreɪzi/,You're crazy!,,你疯了！,She's crazy about pop music.,,她对流行音乐很痴迷。
cream,奶油；乳霜,高中,kriːm,Add cream to the coffee.,,咖啡里加奶油。,She applied some cream to her skin.,,她在皮肤上涂了些乳霜。
create,创造；创作,高中,kriˈeɪt,Create a new design.,,创造新设计。,The artist created a beautiful painting.,created,这位艺术家创作了一幅美丽的画。
creative,创造性的,高中,kriˈeɪtɪv,She has a creative mind.,,她很有创造力。,We need a creative solution to this problem.,,我们需要一个创造性的方法来解决这个问题。
creature,生物；动物,高中,ˈkriːtʃər,Strange creatures live in the deep sea.,creatures,深海里有奇怪的生物。,The dog is a friendly creature.,,狗是一种友好的动物。
credit,信用；信誉；赞扬,高中,ˈkredɪt,Pay by credit card.,,用信用卡支付。,He deserves credit for his hard work.,,他的努力工作值得赞扬。
crew,全体船员；工作人员,高中,kruː,The flight crew welcomed passengers.,,机组人员迎接乘客。,The ship's crew worked together during the storm.,,在暴风雨中，全体船员一起工作。
crop,庄稼；作物,高中,krɒp,Wheat is a major crop.,,小麦是主要农作物。,Farmers harvested the crop in autumn.,,农民们在秋天收割庄稼。
crowd,人群；拥挤,高中,kraʊd,A crowd gathered.,,聚集了一群人。,The street was crowded with people.,crowded,街上挤满了人。
cruel,残忍的；残酷的,高中,ˈkruːəl,Don't be cruel to animals.,,不要残忍对待动物。,The cruel king punished the people severely.,,残忍的国王严厉地惩罚了人民。
culture,文化,高中,ˈkʌltʃər,Chinese culture is ancient.,,中国文化历史悠久。,We should respect different cultures.,cultures,我们应该尊重不同的文化。
curious,好奇的,高中,ˈkjʊəriəs,Children are naturally curious.,,孩子天生好奇。,She was curious about the strange noise.,,她对那奇怪的声音感到好奇。
current,当前的；水流；电流,高中,ˈkʌrənt,Current events are reported.,,报道时事新闻。,The river has a strong current.,,这条河水流很急。
curtain,窗帘,高中,ˈkɜːtn,Close the curtains.,curtains,拉上窗帘。,She bought new curtains for the living room.,curtains,她为客厅买了新窗帘。
custom,习俗；风俗,高中,ˈkʌstəm,It's a local custom.,,这是当地习俗。,Different countries have different customs.,customs,不同的国家有不同的风俗。
customer,顾客,高中,ˈkʌstəmər,The customer is always right.,,顾客永远是对的。,The shop assistant helped the customer.,,店员帮助了那位顾客。
cycle,循环；骑自行车,高中,/ˈsaɪkl/,The water cycle is important.,,水循环很重要。,He cycles to work every day.,cycles,他每天骑自行车上班。
daily,日常的；每日的,高中,/ˈdeɪli/,Daily exercise is good.,,日常锻炼有益健康。,The newspaper is published daily.,,这份报纸每日出版。
damage,损害；毁坏,高中,/ˈdæmɪdʒ/,The storm damaged the roof.,damaged,暴风雨损坏了屋顶。,Smoking can damage your health.,,吸烟会损害你的健康。
damp,潮湿的,高中,/dæmp/,The clothes are still damp.,,衣服还有点潮。,The damp weather made the walls moldy.,,潮湿的天气使墙壁发霉了。
danger,危险,高中,/ˈdeɪndʒər/,Fire is a danger.,,火灾是一种危险。,He is in great danger.,,他处境非常危险。
dangerous,危险的,高中,/ˈdeɪndʒərəs/,Tigers are dangerous.,,老虎很危险。,It's dangerous to drive too fast.,,开太快是危险的。
dare,敢；敢于,高中,/der/,I dare you to jump!,,我敢说你不敢跳！,She dared to speak the truth.,dared,她敢于说出真相。
dark,黑暗的；深色的,高中,/dɑːrk/,It's dark outside.,,外面天黑了。,He wore a dark blue suit.,,他穿了一套深蓝色的西装。
data,数据,高中,/ˈdeɪtə/,Analyze the data.,,分析这些数据。,The data shows a clear trend.,,数据显示出一个清晰的趋势。
date,日期；约会；枣,高中,/deɪt/,What's the date today?,,今天是几号？,They have a dinner date tonight.,,他们今晚有个晚餐约会。
daughter,女儿,高中,/ˈdɔːtər/,She is my daughter.,,她是我的女儿。,Their daughter is a doctor.,,他们的女儿是一名医生。
dawn,黎明；破晓,高中,/dɔːn/,The sun rises at dawn.,,太阳在黎明升起。,A new era dawned.,dawned,一个新时代开始了。
deaf,聋的,高中,/def/,He was born deaf.,,他天生耳聋。,She is deaf in one ear.,,她一只耳朵聋了。
deal,处理；交易；对待,高中,/diːl/,Deal with the problem.,,处理这个问题。,They made a business deal.,,他们达成了一笔商业交易。
dear,亲爱的；昂贵的,高中,/dɪr/,"Dear friend,",,亲爱的朋友，,This watch is too dear for me.,,这块手表对我来说太贵了。
death,死亡,高中,deθ,Death is inevitable.,,死亡不可避免。,The accident caused his death.,,那场事故导致了他的死亡。
December,十二月,高中,dɪˈsembə(r),Christmas is in December.,,圣诞节在十二月。,Her birthday is in December.,,她的生日在十二月。
declare,宣布；声明,高中,dɪˈkleə(r),Declare the results.,,宣布结果。,He declared his love for her.,declared,他向她表白了他的爱。
decorate,装饰；装修,高中,ˈdekəreɪt,Decorate the Christmas tree.,,装饰圣诞树。,They decorated the room with balloons.,decorated,他们用气球装饰了房间。
deed,行为；事迹；契约,高中,diːd,Good deeds deserve praise.,deeds,善行值得赞扬。,He signed the deed to the house.,,他签署了房屋契约。
deer,鹿,高中,dɪə(r),A deer ran across the road.,,一只鹿跑过马路。,We saw a family of deer in the forest.,,我们在森林里看到了一群鹿。
defeat,击败；战胜,高中,dɪˈfiːt,Our team defeated theirs.,defeated,我们队打败了他们队。,He refused to admit defeat.,,他拒绝承认失败。
defence,防御；防守；辩护,高中,dɪˈfens,National defence is important.,,国防很重要。,The lawyer presented a strong defence.,,律师提出了有力的辩护。
defend,保卫；防守,高中,dɪˈfend,Defend your country.,,保卫你的国家。,She defended her opinion in the debate.,defended,她在辩论中为自己的观点辩护。
degree,度数；程度；学位,高中,dɪˈɡriː,It's 30 degrees today.,degrees,今天30度。,She has a degree in physics.,,她拥有物理学学位。
delay,推迟；延误,高中,dɪˈleɪ,Delay the meeting.,,推迟会议。,The flight was delayed by bad weather.,delayed,航班因恶劣天气延误了。
deliver,递送；发表；接生,高中,dɪˈlɪvə(r),Deliver the package.,,递送包裹。,The doctor delivered the baby safely.,delivered,医生安全地接生了婴儿。
demand,要求；需求,高中,dɪˈmɑːnd,Demand an explanation.,,要求解释。,The workers demanded higher pay.,demanded,工人们要求更高的工资。
department,部门；系,高中,dɪˈpɑːtmənt,The HR department called.,,人力资源部打来电话。,She works in the sales department.,,她在销售部门工作。
depth,深度,高中,depθ,Measure the depth of the water.,,测量水深。,The book shows great depth of thought.,,这本书展现了思想的深度。
description,描述；说明,高中,/dɪˈskrɪpʃn/,A detailed description.,,详细的描述。,He gave a clear description of the suspect.,,他对嫌疑犯进行了清晰的描述。
desert,沙漠；遗弃,高中,/ˈdezərt/ (n.); /dɪˈzɜːrt/ (v.),Camels live in the desert.,,骆驼生活在沙漠里。,He felt deserted by his friends.,deserted,他感觉被朋友们抛弃了。
design,设计；图案,高中,/dɪˈzaɪn/,Design a logo.,,设计一个标志。,The new design is very modern.,,这个新设计非常现代。
destroy,摧毁；毁灭,高中,/dɪˈstrɔɪ/,The fire destroyed the house.,destroyed,大火烧毁了房子。,The storm destroyed many trees.,destroyed,暴风雨摧毁了许多树木。
detail,细节；详情,高中,/ˈdiːteɪl/,Pay attention to details.,details,注意细节。,She explained the plan in detail.,,她详细地解释了计划。
determine,决定；确定；决心,高中,/dɪˈtɜːrmɪn/,Determine the cause.,,确定原因。,He is determined to succeed.,determined,他决心要成功。
development,发展；开发,高中,/dɪˈveləpmənt/,Economic development matters.,,经济发展很重要。,The development of new technology is rapid.,,新技术的发展非常迅速。
diagram,图表；图解,高中,/ˈdaɪəɡræm/,Draw a diagram.,,画一张示意图。,The diagram shows how the machine works.,,这张图展示了机器的工作原理。
dial,拨号；刻度盘,高中,/ˈdaɪəl/,Dial the number.,,拨号码。,She dialed 911 for help.,dialed,她拨打了911求助。
